symbol,secID,ticker,exchangeCD,secShortName,listDate
sz000927,000927.XSHE,000927,XSHE,中国铁物,1999-07-27
sz000928,000928.XSHE,000928,XSHE,中钢国际,1999-03-12
sz000929,000929.XSHE,000929,XSHE,*ST兰黄,1999-06-23
sz000930,000930.XSHE,000930,XSHE,中粮科技,1999-07-12
sz000931,000931.XSHE,000931,XSHE,中关村,1999-07-12
sz000932,000932.XSHE,000932,XSHE,华菱钢铁,1999-08-03
sz000933,000933.XSHE,000933,XSHE,神火股份,1999-08-31
sz000935,000935.XSHE,000935,XSHE,四川双马,1999-08-24
sz000936,000936.XSHE,000936,XSHE,华西股份,1999-08-10
sz000937,000937.XSHE,000937,XSHE,冀中能源,1999-09-09
sz000938,000938.XSHE,000938,XSHE,紫光股份,1999-11-04
sz000948,000948.XSHE,000948,XSHE,南天信息,1999-10-14
sz000949,000949.XSHE,000949,XSHE,新乡化纤,1999-10-21
sz000950,000950.XSHE,000950,XSHE,重药控股,1999-09-16
sz000951,000951.XSHE,000951,XSHE,中国重汽,1999-11-25
sz000952,000952.XSHE,000952,XSHE,广济药业,1999-11-12
sz000953,000953.XSHE,000953,XSHE,河化股份,1999-12-02
sz000955,000955.XSHE,000955,XSHE,欣龙控股,1999-12-09
sz000957,000957.XSHE,000957,XSHE,中通客车,2000-01-13
sz000958,000958.XSHE,000958,XSHE,电投产融,1999-12-23
sz000959,000959.XSHE,000959,XSHE,首钢股份,1999-12-16
sz000960,000960.XSHE,000960,XSHE,锡业股份,2000-02-21
sz000962,000962.XSHE,000962,XSHE,东方钽业,2000-01-20
sz000963,000963.XSHE,000963,XSHE,华东医药,2000-01-27
sz000965,000965.XSHE,000965,XSHE,天保基建,2000-04-06
sz000966,000966.XSHE,000966,XSHE,长源电力,2000-03-16
sz000967,000967.XSHE,000967,XSHE,盈峰环境,2000-03-30
sz000968,000968.XSHE,000968,XSHE,蓝焰控股,2000-06-22
sz000969,000969.XSHE,000969,XSHE,安泰科技,2000-05-29
sz000970,000970.XSHE,000970,XSHE,中科三环,2000-04-20
sz000972,000972.XSHE,000972,XSHE,*ST中基,2000-09-26
sz000973,000973.XSHE,000973,XSHE,佛塑科技,2000-05-25
sz000975,000975.XSHE,000975,XSHE,山金国际,2000-06-08
sz000977,000977.XSHE,000977,XSHE,浪潮信息,2000-06-08
sz000978,000978.XSHE,000978,XSHE,桂林旅游,2000-05-18
sz000980,000980.XSHE,000980,XSHE,众泰汽车,2000-06-16
sz000981,000981.XSHE,000981,XSHE,山子高科,2000-06-22
sz000983,000983.XSHE,000983,XSHE,山西焦煤,2000-07-26
sz000985,000985.XSHE,000985,XSHE,大庆华科,2000-07-26
sz000987,000987.XSHE,000987,XSHE,越秀资本,2000-07-18
sz000988,000988.XSHE,000988,XSHE,华工科技,2000-06-08
sz000989,000989.XSHE,000989,XSHE,九芝堂,2000-06-28
