secID,ticker,tradeDate,marketValue,negMarketValue,secShortName,exchangeCD
002548.XSHE,002548,2026-03-26,4356193662.0,4231520090.0,金新农,XSHE
300577.XSHE,300577,2026-03-26,4357825571.0,2583134416.0,开润股份,XSHE
603980.XSHG,603980,2026-03-26,4358807096.0,4358807096.0,吉华集团,XSHG
301193.XSHE,301193,2026-03-26,4360287690.0,3093609690.0,家联科技,XSHE
002917.XSHE,002917,2026-03-26,4362558210.0,3268998900.0,金奥博,XSHE
002587.XSHE,002587,2026-03-26,4365345845.2,3569074703.9,奥拓电子,XSHE
688459.XSHG,688459,2026-03-26,4368000000.0,1597823500.0,哈铁科技,XSHG
002853.XSHE,002853,2026-03-26,4368031692.0,3073470624.0,皮阿诺,XSHE
605077.XSHG,605077,2026-03-26,4369979558.0,4317771948.0,华康股份,XSHG
600351.XSHG,600351,2026-03-26,4373440000.0,4373440000.0,亚宝药业,XSHG
003033.XSHE,003033,2026-03-26,4374442500.0,4320590036.0,征和工业,XSHE
301302.XSHE,301302,2026-03-26,4376689200.0,3902839200.0,华如科技,XSHE
301226.XSHE,301226,2026-03-26,4377024000.0,4377024000.0,祥明智能,XSHE
002845.XSHE,002845,2026-03-26,4379367566.0,3345647298.0,同兴达,XSHE
605399.XSHG,605399,2026-03-26,4380240359.0,4370728019.0,晨光新材,XSHG
300078.XSHE,300078,2026-03-26,4382059024.0,4364399032.0,思创智联,XSHE
301383.XSHE,301383,2026-03-26,4384670972.0,1895287812.0,天键股份,XSHE
003005.XSHE,003005,2026-03-26,4391757526.0,2410046236.0,竞业达,XSHE
300414.XSHE,300414,2026-03-26,4394742860.0,4226365528.0,中光防雷,XSHE
300537.XSHE,300537,2026-03-26,4395107475.0,3211416000.0,广信材料,XSHE
603689.XSHG,603689,2026-03-26,4395672116.0,4375897372.0,皖天然气,XSHG
605162.XSHG,605162,2026-03-26,4398401340.0,4398401340.0,新中港,XSHG
300798.XSHE,300798,2026-03-26,4402551680.16,3581409297.99,锦鸡股份,XSHE
003020.XSHE,003020,2026-03-26,4402717930.0,3188322175.0,立方制药,XSHE
